event_id,signal_id,trade_id,entry_timestamp,entry_price,size,exit_timestamp,exit_price,realised_pnl,max_adverse_excursion_during_trade,max_favourable_excursion_during_trade
EVT_BB4052,SIG_0007,TRD_0001,2026-02-19T15:23:46.362448+00:00,0.515,,2026-02-20T03:52:22.950322+00:00,0.505,-0.01,0.01,0
EVT_04CD6A,SIG_0012,TRD_0002,2026-02-19T09:19:50.422263+00:00,0.0245,,2026-02-19T14:03:38.311539+00:00,0.022,-0.0025,0.0025,0
EVT_EA827A,SIG_0015,TRD_0003,2026-02-19T09:19:50.422263+00:00,0.9465,2000.0,2026-02-19T20:49:10.612509+00:00,0.943,0.0035,0,0.0045
EVT_051E45,SIG_0019,TRD_0004,2026-02-19T23:50:33.585099+00:00,0.9265,,,0.9285,0.002,0.0005,0.002
EVT_386D34,SIG_0023,TRD_0005,2026-02-19T09:19:50.422263+00:00,0.1,2000.0,2026-02-19T15:23:46.362448+00:00,0.107,0.007,0,0.011
EVT_9EEDC0,SIG_0031,TRD_0006,2026-02-19T09:19:50.422263+00:00,0.275,,2026-02-19T17:47:36.682403+00:00,0.225,-0.05,0.04,0.015
EVT_606C42,SIG_0036,TRD_0007,2026-02-19T09:19:50.422263+00:00,0.26,10000.0,2026-02-19T13:47:21.613838+00:00,0.285,-0.025,0.03,0
EVT_130A64,SIG_0040,TRD_0008,2026-02-19T09:19:50.422263+00:00,0.345,,2026-02-19T17:47:36.682403+00:00,0.35,0.005,0,0.01
EVT_201A28,SIG_0044,TRD_0009,2026-02-19T14:03:38.311539+00:00,0.175,,2026-02-20T02:51:52.579078+00:00,0.175,0.0,0,0
EVT_C86737,SIG_0049,TRD_0010,2026-02-19T14:03:38.311539+00:00,0.13,,2026-02-20T01:51:22.110646+00:00,0.145,0.015,0.015,0.02
EVT_D3D364,SIG_0067,TRD_0011,2026-02-19T09:19:50.422263+00:00,0.58,5000.0,2026-02-19T13:47:21.613838+00:00,0.635,0.055,0,0.055
EVT_4B6645,,TRD_0012,HTML_snapshot_16 Feb 08:56,0.105,2000.0,HTML_snapshot_16 Feb 08:56,0.29,0.015015,,
EVT_BCBBC3,,TRD_0013,HTML_snapshot_16 Feb 08:56,0.025,,HTML_snapshot_16 Feb 08:56,0.2,0.0005,,
EVT_01697E,,TRD_0014,HTML_snapshot_18 Feb 06:50,0.235,,HTML_snapshot_18 Feb 06:50,,0,,
EVT_204BA6,,TRD_0015,HTML_snapshot_18 Feb 06:50,1.0,,HTML_snapshot_18 Feb 06:50,,0,,
EVT_2DC5A4,,TRD_0016,HTML_snapshot_16 Feb 08:56,0.105,,HTML_snapshot_16 Feb 08:56,0.11,0.0,,
EVT_4FA1A6,,TRD_0017,HTML_snapshot_16 Feb 08:56,0.105,2000.0,HTML_snapshot_16 Feb 08:56,0.085,0.01995,,
EVT_090914,,TRD_0018,HTML_snapshot_19 Feb 05:13,0.225,,HTML_snapshot_19 Feb 05:13,,0,,
EVT_15D87D,,TRD_0019,HTML_snapshot_18 Feb 06:50,0.545,,HTML_snapshot_18 Feb 06:50,,0,,
EVT_B1585E,,TRD_0020,HTML_snapshot_18 Feb 06:50,0.545,,HTML_snapshot_18 Feb 06:50,,0,,
EVT_DA73A0,,TRD_0021,HTML_snapshot_18 Feb 06:50,1.0,,HTML_snapshot_18 Feb 06:50,,0,,
EVT_97FE3A,,TRD_0022,HTML_snapshot_18 Feb 06:50,0.065,,HTML_snapshot_18 Feb 06:50,,0,,
